Sl.,Course,Course Title,No. of,Pricing,,Sl.,Course,Course Title,No. of,Pricing,
No.,Code,,Blocks,in Rs.,,No.,Code,,Blocks,in Rs.,
,,,,English,Hindi,,,,,English,Hindi
97. MHI-06,Evolution of Social Structures,,8,1075.00 1175.00,,,110. BECE-107,Industrial Development,8,1125.00 1250.00,
,in India Through the Ages,,,,,,,in India,,,
,Hkkjr ea fofHkUu ;xka ds nkSjku,,,,,,,,,,
,lkekftd ljpukdk fodkl,,,,,,111. EEC-10,National IncomeAccounting,9,875.00,900.00
,,,,,,,,"jk""Vah; vk; y[kkdj.k",,,
98. MHI-08,History of Ecology and,,7,950.00 1025.00,,,,,,,
,Environment: India,,,,,,112. EEC-11,Fundamentals of Economics,9,950.00 1025.00,
,"Hkkjr ea ikfjfLFkfrdh ,oa",,,,,,,vFk’kkL= ds eyrRo,,,
,i;koj.k dk bfrgkl,,,,,,113. EEC-12,Indian Economic Development 8,,950.00 1000.00,
99. EHI-1,Modern India 1857-1964,,8,1125.00 1225.00,,,,Since Independence,,,
,vk/kfud Hkkjr 1857&1964,,,,,,,Loar=rk izkfIr ds ckn,,,
,,,,,,,,Hkkjr dk vkfFkd fodkl,,,
100. EHI-2,History of India From Earliest,,8,1000.00 1100.00,,,,,,,
,Times to 8th Century A .D.,,,,,,114. EEC-13,Elementary Statistical,7,800.00,875.00
,Hkkjr% izkphu dky ls,,,,,,,Methods and,,,
,98 oha lnh bZLoh,,,,,,,Survey Techniques,,,
,,,,,,,,ÁkjfHkd lkf[;dh;,,,
101. EHI-3,India from 8th to 15th,,8,925.00,975.00,,,fof/k;kW vkSj lo{k.k rduhda,,,
,Century A .D.,,,,,,,,,,
,Hkkjr% 8oh lnh ls,,,,,,115. EEC-19,Indian Financial System,4,550.00,550.00
,15oh lnh rd,,,,,,,Hkkjrh; foRr O;oLFkk,,,
102. EHI-4,India from16th to Mid,,9,975.00 1075.00,,,116. EPA-1,Administrative Theory,6,775.00,800.00
,18th Century,,,,,,iz’kklfud fl}kr,,,,
,Hkkjr% 16oh ls 18oh 'krkOnh,,,,,,117. BPAE-102,IndianAdministration,6,800.00,925.00
,ds e/; rd,,,,,,,Hkkjrh; iz’kklu,,,
103. EHI-5,India Mid 18th Century to,,8,825.00,850.00,,118. EPA-3,DevelopmentAdministration,,,
,Mid-19th Century,,,,,,,fodkl iz’kklu,6,700.00,775.00
,Hkkjr% 18oh 'krkOnh ds e/; ls,,,,,,,,,,
,19oh 'krkOnh ds e/; rd,,,,,,119. EPA-4,PersonnelAdministration,,,
,,,,,,,,dkfeSd iz’kklu,6,675.00,725.00
104. EHI-6,History of China and Japan,,8,1025.00 1150.00,,,,,,,
,(1840-1949),,,,,,120. EPA-5,FinancialAdministration,9,850.00,900.00
,phu vkSj tkiku dk bfrgkl,,,,,,,foRrh; iz’kklu,,,
,1⁄41840&19491⁄2,,,,,,,,,,
,,,,,,,121. EPA-6,Public Policy,8,825.00,875.00
105. EHI-7,Modern Europe (Mid 18th,,8,900.00,975.00,,,ykd uhfr,,,
,Century to Mid 20th Century),,,,,,122. MEC-001,MicroeconomicAnalysis,8,1350.00 1450.00,
,vk/kfud ;jki% e/;,,,,,,,,,,
,vBkjgoha ls e/; chloh,,,,,,123. MEC-002,MacroeconomicAnalysis,7,800.00,850.00
,'krkCnh rd,,,,,,124. MEC-003,Quantitative Methods,6,1075.00 1150.00,
106. BECE-002,Indian Economic Development:,,,,,,125. MEC-004,Economics of Growth,,,
,Issues and Perspectives,,7,1125.00 1250.00,,,,and Development,6,900.00,975.00
107. BECE-214,Agricultural Development,,8,900.00 1125.00,,,126. MEC-105,Indian Economic Policy,6,1450.00 1625.00,
,in India,,,,,,,,,,
,,,,,,,127. MEC-006,Public Economics,6,900.00,975.00
108. BECE-15,Elementary Mathematicals,,8,900.00 1000.00,,,,,,,
,Methods in Economics,,,,,,128. MEC-007,International Trade and,,,
,,,,,,,,Finance,6,700.00,875.00
109. BECE-16,Economic Developments,,8,675.00,775.00,,,,,,
,Comparative Analysis and,,,,,,129. MEC-008,Economics of Social Sector,,,
,Contemporary Issues,,,,,,,and Environment,6,850.00,950.00
,,,,,,6,,,,,

Contd. from pre page,,,,,,,,,,,
Sl.,Course,Course Title,No. of,Pricing,,Sl.,Course,Course Title,No. of,Pricing,
No.,Code,,Blocks,in Rs.,,No.,Code,,Blocks,in Rs.,
,,,,English,Hindi,,,,,English,Hindi
130. MEC-009,Research Methods in,,,,,,151. MPC-002,Life Span Psychology,4,475.00,-
,Economics,,6,1100.00 1250.00,,,,,,,
,,,,,,,152. MPC-003,Personality: Theories and,,,
131.MECE-001,Econometric Methods,,5,750.00,750.00,,,Assessment,4,525.00,-
132. MECE-003 Actuarial Economics:,,,,,,,153. MPC-004,Advanced Social Psychology,4,525.00,-
,Theory and Practices,,7,1200.00 1250.00,,,,,,,
,,,,,,,154. MPC-005,Research Methods in,,,
133. MECE-004 Financial Institutions and,,,5,775.00,850.00,,,Psychology,4,450.00,-
,Markets,,,,,,,,,,
,,,,,,,155. MPC-006,Statistics in Psychology,4,625.00,-
134. MLIE-101,Preservation and Conservation,,,,,,,,,,
,of Library Materials,,1,,,,156. MPC-051,Fundamentals of Mental Health 4,,525.00,-
135. MLIE-102,Research Methodology,,1,,,,157. MPC-052,Mental Disorders,4,675.00,-
136. MLIE-103,Academic Library System,,1,,,,158. MPC-053,Mental Health in Special Areas 4,,775.00,-
137. BSHF-101,Foundation Course in,,7,825.00,900.00,,159. MPC-054,Services for the Mentally-III,4,675.00,-
,Humanities & Social Sciences,,,,,,160. MPC-055,Practicals,1,100.00,-
,ekufodh vkSj lkekftd foKku,,,,,,,,,,
,ea vk/kkj ikB;Øe,,,,,,161. MPCL-007,Experimental Psychology,,,
,,,,,,,,and Psychological Testing,1,100.00,-
138. OSS-101,Preparatory Course in,,,,,,,,,,
,Social Sciences,,,,,,162. MPCE-014/ Handbook on Practicum in,,,,
,Lkkekftd foKku ea,,,,,,24/34,M.A. IInd Year,1,125.00,-
,izkjfHkd ikBØe,,1,300.00,375.00,,,,,,
,,,,,,,163. MPCE-015/ Handbook oof Internship,,,,
139. CDM-02,Disaster Management:,,,,,,25/35,,1,150.00,-
,Methods & Techniques,,,,,,,,,,
,vkink izo/ku% fof/k;k¡,,,,,,164. MPCE-016/ Handbook on Project,,,,
,vkSj rduhd,,7,775.0,800.00,,26/36,,1,100.00,-
140. PFM-01,Forest Resources and Use,,,1,,,165. MECP-101 Project Work,,1,100.00,-
,Practices,,,,,,"166. MECP-101 dyk fu""iknu 1⁄4vFk'kkL=1⁄2",,1,125.00,-
141. PFM-02,Forester’s Views of Forest,,,1,,,167. MPAP-01,Project Handbook,1,100.00,-
,Management,,,,,,,,,,
,,,,,,,168. MLIP-02,Project Work/Dissertation,,,
142. BPC-004,Statistics in Psychology,,4,475.00,-,,,Guide,1,100.00,-
143. BPC-005,Theories of Personality,,4,,-,,169. BPCL-007,Practicals in Psychological,,,
144. BPC-006,Social Psychology,,4,,-,,and 008,Testing (BPCL-001),,,
,,,,,,,,Practicals in Experimental,,,
145. BPCE-014,Psychopathology,,4,,-,,,Psychology (BPCL-008),1,125.00,-
